,mass,redshift,x,y,z,radius,temp,t_id,id,d_id,is_sf,is_sf_first,mm_prog_id,time,dm,dt,dmdt,dyn_heating
11,86880.59375,21.99907875061035,0.3454799950122833,0.2577300071716308,0.1687600016593933,0.0009590000263415,441.5496685757368,495782.0,92975.0,128853.0,0,0,64037.0,147.24187285531823,19343.28125,9.097331349510483,2126.258845242659,7.088254373531233e-29
12,67537.3125,22.99808120727539,0.3455600142478943,0.2570599913597107,0.1685899943113327,0.0008810000144876,389.5154334425408,495782.0,64037.0,92975.0,0,0,41589.0,138.14454150580775,14328.359375,8.220422904162973,1743.0197377976572,6.594009653614373e-29
13,53208.953125,24.0,0.3455699980258941,0.2563099861145019,0.1683599948883056,0.0008140000281855,346.13650225473293,495782.0,41589.0,64037.0,0,0,24553.0,129.92411860164478,18298.5078125,7.430117858677974,2462.7479887318796,1.050870105934781e-28
14,34910.4453125,25.001039505004883,0.3455899953842163,0.2555600106716156,0.1680700033903122,0.000707000028342,271.8174492414609,495782.0,24553.0,41589.0,0,0,-1.0,122.4940007429668,,,,0.0
15,42343.28125,20.997360229492188,0.3454099893569946,0.2584199905395508,0.1687999963760376,0.0007540000369772,261.54683669088496,495782.0,128854.0,174021.0,0,0,92976.0,157.41254340155672,7223.87890625,10.170670546238483,710.2657463348546,2.877744361243083e-29
16,35119.40234375,21.99907875061035,0.3447700142860412,0.2570199966430664,0.1684699952602386,0.0007090000435709,241.39546837135444,495782.0,92976.0,128854.0,0,0,-1.0,147.24187285531823,,,,0.0
17,33134.328125,20.997360229492188,0.3459599912166595,0.2593599855899811,0.1681199967861175,0.0006950000533834,222.0982963992067,495782.0,128855.0,174021.0,0,0,92977.0,157.41254340155672,-7014.92578125,10.170670546238483,-689.7210709321813,0.0
18,40149.25390625,21.99907875061035,0.3461799919605255,0.2588500082492828,0.1679500043392181,0.0007410000544041,263.92631324131537,495782.0,92977.0,128855.0,0,0,64040.0,147.24187285531823,2716.41796875,9.097331349510483,298.595034564303,1.2875205567773542e-29
19,37432.8359375,22.99808120727539,0.3463099896907806,0.2583500146865845,0.1678700000047683,0.0007239999831654,262.823351463906,495782.0,64040.0,92977.0,0,0,41592.0,138.14454150580775,3358.2109375,8.220422904162973,408.5204589412718,1.8814444824696963e-29
20,34074.625,24.0,0.3464399874210357,0.2579199969768524,0.1678400039672851,0.0007020000484772,257.16487762446485,495782.0,41592.0,64040.0,0,0,24556.0,129.92411860164478,3656.71484375,7.430117858677974,492.1476231334818,2.4363649315371802e-29
21,30417.91015625,25.001039505004883,0.3466100096702575,0.2576799988746643,0.1678099930286407,0.0006760000251233,247.96667932734687,495782.0,24556.0,41592.0,0,0,-1.0,122.4940007429668,,,,0.0
22,31567.162109375,19.0,0.3442899882793426,0.2618100047111511,0.1688600033521652,0.0006840000278316,195.5155785232813,495782.0,229042.0,293666.0,0,0,-1.0,181.57055354846767,,,,0.0
23,55298.50390625,19.99958038330078,0.3448300063610077,0.2599599957466125,0.1693300008773803,0.0008250000537373,298.3168036036667,495782.0,174028.0,229043.0,0,0,128863.0,168.76294775721118,-21537.31640625,11.350404355654462,-1897.493316660626,0.0
24,76835.8203125,20.997360229492188,0.3442899882793426,0.2598499953746795,0.1693799942731857,0.0009200000786222,389.10691116511146,495782.0,128863.0,174028.0,0,0,92985.0,157.41254340155672,4492.5390625,10.170670546238483,441.71512999814144,1.4672829334197772e-29
25,72343.28125,21.99907875061035,0.3438099920749664,0.2596400082111358,0.1692599952220916,0.0009020000579766,390.8077515370078,495782.0,92985.0,128863.0,0,0,64048.0,147.24187285531823,14955.22265625,9.097331349510483,1643.9131522954501,5.825191600980045e-29
26,57388.05859375,22.99808120727539,0.3435100018978119,0.259469985961914,0.1691499948501587,0.0008350000134669,349.4431200615047,495782.0,64048.0,92985.0,0,0,41600.0,138.14454150580775,14940.30078125,8.220422904162973,1817.46133446297,7.25916252548682e-29
27,42447.7578125,24.0,0.3431999981403351,0.2592099905014038,0.169060006737709,0.0007550000445917,297.7333029718701,495782.0,41600.0,64048.0,0,0,24564.0,129.92411860164478,8477.609375,7.430117858677974,1140.9791252636205,5.249485468785453e-29
28,33970.1484375,25.001039505004883,0.3429299890995025,0.2590700089931488,0.1689600050449371,0.000700999982655,266.91443041232964,495782.0,24564.0,41600.0,0,0,-1.0,122.4940007429668,,,,0.0
29,860298.5,18.00057029724121,0.3468199968338012,0.2613700032234192,0.168160006403923,0.0020580000709742,1682.1467172119171,495782.0,293667.0,367343.0,1,0,229047.0,196.0817890892979,43582.125,14.511235540830228,3003.3366130246513,3.8519895085426097e-29
30,816716.375,19.0,0.3473399877548218,0.2618800103664398,0.1680099964141845,0.0020230000372976,1710.2982986135455,495782.0,229047.0,293667.0,1,1,174032.0,181.57055354846767,191194.0,12.807605791256492,14928.16090033974,2.050563800234887e-28
31,625522.375,19.99958038330078,0.3472999930381775,0.2619799971580505,0.16805000603199,0.0018510000081732,1503.24817470236,495782.0,174032.0,229047.0,0,0,128870.0,168.76294775721118,413880.59375,11.350404355654462,36463.95148414391,5.748015684158161e-28
32,211641.78125,20.997360229492188,0.3473300039768219,0.2618899941444397,0.1680800020694732,0.0012900000438094,764.5878442642477,495782.0,128870.0,174032.0,0,0,92992.0,157.41254340155672,9402.984375,10.170670546238483,924.5196108016296,2.190829031349313e-29
33,202238.796875,21.99907875061035,0.348470002412796,0.2627699971199035,0.1675499975681305,0.0012700000079348,775.5456153833347,495782.0,92992.0,128870.0,0,0,64055.0,147.24187285531823,71253.7265625,9.097331349510483,7832.376751489224,1.9701660086802048e-28
34,130985.0703125,22.99808120727539,0.3488099873065948,0.2628700137138366,0.1671800017356872,0.001098999986425,605.773140366847,495782.0,64055.0,92992.0,0,0,41606.0,138.14454150580775,38253.7265625,8.220422904162973,4653.498610531048,1.4116732407636977e-28
35,92731.34375,24.0,0.3490599989891052,0.2630299925804138,0.1669400036334991,0.0009800000116229,501.2741179286776,495782.0,41606.0,64055.0,0,0,24569.0,129.92411860164478,26134.328125,7.430117858677974,3517.350413826414,1.2471846111599627e-28
36,66597.015625,25.001039505004883,0.3492900133132934,0.2631900012493133,0.1667599976062774,0.0008770000422373,418.0968731031481,495782.0,24569.0,41606.0,0,0,-1.0,122.4940007429668,,,,0.0
37,104955.21875,19.0,0.3488000035285949,0.2606000006198883,0.1673499941825866,0.0010210000909864,435.5389842126452,495782.0,229048.0,293667.0,1,1,174034.0,181.57055354846767,36477.609375,12.807605791256492,2848.1208720448412,7.752607385891878e-29
38,68477.609375,19.99958038330078,0.3495999872684479,0.2599399983882904,0.1663800030946731,0.0008850000449456,344.00745195981153,495782.0,174034.0,229048.0,0,0,128877.0,168.76294775721118,11716.41796875,11.350404355654462,1032.24674660275,3.401489708613193e-29
39,56761.19140625,20.997360229492188,0.3501900136470794,0.2594600021839142,0.1655700057744979,0.0008320000488311,317.975849227491,495782.0,128877.0,174034.0,0,0,92999.0,157.41254340155672,11283.58203125,10.170670546238483,1109.4236097759665,4.076678054937722e-29
40,45477.609375,21.99907875061035,0.3506399989128113,0.2591199874877929,0.1649599969387054,0.0007730000652372,286.7891968289726,495782.0,92999.0,128877.0,0,0,64062.0,147.24187285531823,13283.580078125,9.097331349510483,1460.1622792204632,6.039940551165591e-29
41,32194.029296875,22.99808120727539,0.3510699868202209,0.2588399946689605,0.1643700003623962,0.0006890000659041,237.6907975751133,495782.0,64062.0,92999.0,0,0,-1.0,138.14454150580775,,,,0.0
42,45059.69921875,19.99958038330078,0.3490099906921386,0.260809987783432,0.1665699928998947,0.0007700000423938,260.2521455653439,495782.0,174035.0,229048.0,0,0,128878.0,168.76294775721118,2820.89453125,11.350404355654462,248.5281090311736,9.41559834718476e-30
43,42238.8046875,20.997360229492188,0.3496600091457367,0.2604300081729889,0.166030004620552,0.0007540000369772,261.11643004310145,495782.0,128878.0,174035.0,0,0,93000.0,157.41254340155672,-2298.5078125,10.170670546238483,-225.99373384973907,0.0
